changeset,From,Validated,SPAM,Import,Tagging Error
44638324,Crawl 2 Mapping Error,,N,N,Y
44638352,Crawl 2 Mapping Error,Y,N,N,Y
44638460,Crawl 2 Mapping Error,,N,N,Y
44639250,Crawl 2 Mapping Error,Y,N,N,Y
44639547,Crawl 2 Mapping Error,,N,N,Y
44640874,Crawl 2 Mapping Error,,N,N,Y
44645599,Crawl 2 Mapping Error,,N,N,Y
44646916,Crawl 2 Mapping Error,,N,N,Y
44647043,Crawl 2 Mapping Error,,N,N,Y
44647925,Crawl 2 Mapping Error,,N,N,Y
44653841,Crawl 2 Mapping Error,Y,N,N,N
44661887,Crawl 2 Mapping Error,,N,N,Y
44663161,Crawl 2 Mapping Error,,N,N,Y
44663239,Crawl 2 Mapping Error,,N,N,Y
44663583,Crawl 2 Mapping Error,,N,N,Y
44663916,Crawl 2 Mapping Error,,N,N,Y
44665778,Crawl 2 Mapping Error,Y,N,N,N
44666113,Crawl 2 Mapping Error,Y,N,N,N
44666217,Crawl 2 Mapping Error,Y,N,N,N
44666355,Crawl 2 Mapping Error,Y,N,N,N
44666472,Crawl 2 Mapping Error,Y,N,N,N
44666500,Crawl 2 Mapping Error,Y,N,N,N
44666525,Crawl 2 Mapping Error,Y,N,N,N
44666554,Crawl 2 Mapping Error,Y,N,N,N
44669797,Crawl 2 Mapping Error,Y,N,N,N
44670271,Crawl 2 Mapping Error,Y,N,N,N
44673528,Crawl 2 Mapping Error,,N,Y,N
44673558,Crawl 2 Mapping Error,,N,N,Y
44673659,Crawl 2 Mapping Error,,N,N,Y
44675704,Crawl 2 Mapping Error,,N,N,Y
44681012,Crawl 2 Mapping Error,Y,N,N,N
44683041,Crawl 2 Mapping Error,,N,N,Y
44703768,Crawl 2 Mapping Error,,N,N,Y
44706369,Crawl 2 Mapping Error,,N,N,Y
44711472,Crawl 2 Mapping Error,Y,N,N,Y
44733015,Crawl 2 Mapping Error,,N,N,Y
44736455,Crawl 2 Mapping Error,,N,N,Y
44752320,Crawl 2 Mapping Error,Y,N,N,N
44756913,Crawl 2 Mapping Error,Y,N,N,N
44757508,Crawl 2 Mapping Error,Y,N,N,N
44810327,Crawl 2 Mapping Error,Y,N,N,N
44819088,Crawl 2 Mapping Error,Y,N,N,N
44846495,Crawl 2 Mapping Error,Y,N,N,N
44873131,Crawl 2 Mapping Error,,N,N,Y
44883374,Crawl 2 Mapping Error,Y,N,N,N
44883670,Crawl 2 Mapping Error,Y,N,N,N
43705684,Crawl 2 Mapping Error,Y,N,N,N
43719309,Crawl 2 Mapping Error,,N,N,Y
43719573,Crawl 2 Mapping Error,Y,N,N,Y
43721539,Crawl 2 Mapping Error,Y,N,N,N
43721825,Crawl 2 Mapping Error,Y,N,N,Y
43722132,Crawl 2 Mapping Error,Y,N,N,Y
43722593,Crawl 2 Mapping Error,,N,N,Y
43749681,Crawl 2 Mapping Error,,N,N,Y
43753643,Crawl 2 Mapping Error,Y,N,N,Y
43756794,Crawl 2 Mapping Error,Y,N,N,N
43756815,Crawl 2 Mapping Error,Y,N,N,N
43756953,Crawl 2 Mapping Error,Y,N,N,N
43802110,Crawl 2 Mapping Error,Y,N,N,N
43802142,Crawl 2 Mapping Error,Y,N,N,N
43802434,Crawl 2 Mapping Error,Y,N,N,N
43802552,Crawl 2 Mapping Error,Y,N,N,N
43802908,Crawl 2 Mapping Error,Y,N,N,N
43803481,Crawl 2 Mapping Error,Y,N,N,N
43808535,Crawl 2 Mapping Error,Y,N,N,N
43808641,Crawl 2 Mapping Error,Y,N,N,N
43808661,Crawl 2 Mapping Error,Y,N,N,N
43817163,Crawl 2 Mapping Error,Y,N,N,N
43817219,Crawl 2 Mapping Error,Y,N,N,N
43817276,Crawl 2 Mapping Error,Y,N,N,N
43817313,Crawl 2 Mapping Error,Y,N,N,N
43826782,Crawl 2 Mapping Error,Y,N,N,N
43828605,Crawl 2 Mapping Error,Y,N,N,N
43834670,Crawl 2 Mapping Error,Y,N,N,N
43841316,Crawl 2 Mapping Error,Y,N,N,N
43841372,Crawl 2 Mapping Error,Y,N,N,N
43841432,Crawl 2 Mapping Error,Y,N,N,N
43884131,Crawl 2 Mapping Error,Y,N,N,N
43896520,Crawl 2 Mapping Error,Y,N,N,N
43899347,Crawl 2 Mapping Error,Y,N,N,Y
43905224,Crawl 2 Mapping Error,Y,N,N,N
43914063,Crawl 2 Mapping Error,Y,N,N,N
43914262,Crawl 2 Mapping Error,Y,N,N,N
43915697,Crawl 2 Mapping Error,,N,N,Y
43928524,Crawl 2 Mapping Error,Y,N,N,N
43934125,Crawl 2 Mapping Error,,N,N,N
43971669,Crawl 2 Mapping Error,Y,N,N,N
43974794,Crawl 2 Mapping Error,Y,N,N,N
44009799,Crawl 2 Mapping Error,Y,N,N,N
44013354,Crawl 2 Mapping Error,Y,N,N,N
44029855,Crawl 2 Mapping Error,Y,N,N,N
44031083,Crawl 2 Mapping Error,Y,N,N,N
44060651,Crawl 2 Mapping Error,Y,N,N,N
44062001,Crawl 2 Mapping Error,Y,N,N,Y
44070462,Crawl 2 Mapping Error,Y,N,N,N
44083617,Crawl 2 Mapping Error,Y,N,N,N
44091731,Crawl 2 Mapping Error,Y,N,N,N
44094178,Crawl 2 Mapping Error,Y,N,N,N
44103699,Crawl 2 Mapping Error,Y,N,N,N
44122174,Crawl 2 Mapping Error,Y,N,N,N
44149141,Crawl 2 Mapping Error,Y,N,N,N
44189615,Crawl 2 Mapping Error,Y,N,N,N
44190107,Crawl 2 Mapping Error,Y,N,N,N
44190235,Crawl 2 Mapping Error,Y,N,N,N
44218097,Crawl 2 Mapping Error,Y,N,N,N
44223920,Crawl 2 Mapping Error,Y,N,N,N
44257802,Crawl 2 Mapping Error,Y,N,N,N
44257828,Crawl 2 Mapping Error,Y,N,N,N
44266106,Crawl 2 Mapping Error,Y,N,N,N
44275330,Crawl 2 Mapping Error,Y,N,N,N
44276839,Crawl 2 Mapping Error,Y,N,N,N
44280242,Crawl 2 Mapping Error,Y,N,N,N
44289070,Crawl 2 Mapping Error,Y,N,N,N
44301786,Crawl 2 Mapping Error,Y,N,N,N
44313955,Crawl 2 Mapping Error,Y,N,N,N
44320937,Crawl 2 Mapping Error,Y,N,N,N
44321062,Crawl 2 Mapping Error,Y,N,N,N
44321146,Crawl 2 Mapping Error,Y,N,N,N
44329053,Crawl 2 Mapping Error,Y,N,N,N
44331075,Crawl 2 Mapping Error,Y,N,N,N
44336467,Crawl 2 Mapping Error,Y,N,Y,Y
44351090,Crawl 2 Mapping Error,Y,N,N,N
44353732,Crawl 2 Mapping Error,Y,N,N,N
44353775,Crawl 2 Mapping Error,Y,N,N,N
44354370,Crawl 2 Mapping Error,Y,N,N,N
44393700,Crawl 2 Mapping Error,Y,N,N,N
44425195,Crawl 2 Mapping Error,Y,N,N,N
44441487,Crawl 2 Mapping Error,Y,N,N,Y
44441919,Crawl 2 Mapping Error,Y,N,N,Y
44444832,Crawl 2 Mapping Error,Y,N,N,N
44460685,Crawl 2 Mapping Error,Y,N,N,N
44465087,Crawl 2 Mapping Error,,N,Y,N
44471869,Crawl 2 Mapping Error,,N,N,Y
44484258,Crawl 2 Mapping Error,Y,N,N,N
44510524,Crawl 2 Mapping Error,Y,N,N,N
44516826,Crawl 2 Mapping Error,Y,N,N,N
44525435,Crawl 2 Mapping Error,Y,N,N,Y
44536893,Crawl 2 Mapping Error,Y,N,N,N
44540142,Crawl 2 Mapping Error,Y,N,N,N
44540976,Crawl 2 Mapping Error,Y,N,N,N
44542235,Crawl 2 Mapping Error,Y,N,N,N
44546861,Crawl 2 Mapping Error,Y,N,N,N
44568181,Crawl 2 Mapping Error,Y,N,N,N
44570571,Crawl 2 Mapping Error,,N,N,Y
44615450,Crawl 2 Mapping Error,Y,N,N,N
44615561,Crawl 2 Mapping Error,Y,N,N,N
44615628,Crawl 2 Mapping Error,Y,N,N,N
44618866,Crawl 2 Mapping Error,Y,N,N,N
44624665,Crawl 2 Mapping Error,Y,N,N,N
44635576,Crawl 2 Mapping Error,Y,N,N,N
44635632,Crawl 2 Mapping Error,Y,N,N,N
44636497,Crawl 2 Mapping Error,Y,N,N,N
44636559,Crawl 2 Mapping Error,Y,N,N,N
44636564,Crawl 2 Mapping Error,Y,N,N,N
44636594,Crawl 2 Mapping Error,Y,N,N,N
44636597,Crawl 2 Mapping Error,Y,N,N,N
44636661,Crawl 2 Mapping Error,Y,N,N,N
44636815,Crawl 2 Mapping Error,Y,N,N,N
44636918,Crawl 2 Mapping Error,Y,N,N,N
44637550,Crawl 2 Mapping Error,,N,N,Y
44637855,Crawl 2 Mapping Error,,N,N,Y
44638180,Crawl 2 Mapping Error,,N,N,Y
44645541,Crawl 2 Mapping Error,Y,N,N,N
44645608,Crawl 2 Mapping Error,Y,N,N,N
44647852,Crawl 2 Mapping Error,,N,N,Y
44658748,Crawl 2 Mapping Error,,N,N,Y
44664263,Crawl 2 Mapping Error,,N,Y,N
44666150,Crawl 2 Mapping Error,Y,N,N,N
44666173,Crawl 2 Mapping Error,Y,N,N,N
44666308,Crawl 2 Mapping Error,Y,N,N,N
44666399,Crawl 2 Mapping Error,Y,N,N,N
44669665,Crawl 2 Mapping Error,Y,N,N,N
44669816,Crawl 2 Mapping Error,Y,N,N,N
44669869,Crawl 2 Mapping Error,Y,N,N,N
44669910,Crawl 2 Mapping Error,Y,N,N,N
44670064,Crawl 2 Mapping Error,Y,N,N,N
44673608,Crawl 2 Mapping Error,,N,N,Y
44677206,Crawl 2 Mapping Error,Y,N,N,N
44685519,Crawl 2 Mapping Error,,N,N,Y
44698977,Crawl 2 Mapping Error,Y,N,N,N
44699730,Crawl 2 Mapping Error,Y,N,N,N
44700968,Crawl 2 Mapping Error,Y,N,N,N
44722082,Crawl 2 Mapping Error,Y,N,N,N
44725747,Crawl 2 Mapping Error,Y,N,N,N
44742316,Crawl 2 Mapping Error,Y,N,N,N
44745089,Crawl 2 Mapping Error,Y,N,N,N
44754869,Crawl 2 Mapping Error,Y,N,N,N
44755246,Crawl 2 Mapping Error,Y,N,N,N
44757307,Crawl 2 Mapping Error,Y,N,N,N
44767926,Crawl 2 Mapping Error,Y,N,N,Y
44799942,Crawl 2 Mapping Error,Y,N,N,N
44800048,Crawl 2 Mapping Error,Y,N,N,N
44813423,Crawl 2 Mapping Error,Y,N,N,N
44813871,Crawl 2 Mapping Error,Y,N,N,N
44814703,Crawl 2 Mapping Error,Y,N,N,N
44817117,Crawl 2 Mapping Error,,N,N,Y
44823491,Crawl 2 Mapping Error,Y,N,N,N
44829870,Crawl 2 Mapping Error,Y,N,N,N
44831222,Crawl 2 Mapping Error,Y,N,N,N
44850848,Crawl 2 Mapping Error,Y,N,N,N
44883593,Crawl 2 Mapping Error,Y,N,N,N
43720617,Crawl 2 Mapping Error,,N,Y,N
43721585,Crawl 2 Mapping Error,Y,N,N,N
43721839,Crawl 2 Mapping Error,,N,N,Y
43723199,Crawl 2 Mapping Error,Y,N,N,N
43723914,Crawl 2 Mapping Error,Y,N,N,N
43733627,Crawl 2 Mapping Error,Y,N,N,N
43753768,Crawl 2 Mapping Error,,N,N,Y
43754610,Crawl 2 Mapping Error,,N,Y,N
43756705,Crawl 2 Mapping Error,Y,N,N,N
43756758,Crawl 2 Mapping Error,Y,N,N,N
43756910,Crawl 2 Mapping Error,Y,N,N,N
43773656,Crawl 2 Mapping Error,Y,N,N,N
43781424,Crawl 2 Mapping Error,Y,N,N,N
43815480,Crawl 2 Mapping Error,Y,N,N,N
43817492,Crawl 2 Mapping Error,Y,N,N,N
43826705,Crawl 2 Mapping Error,Y,N,N,N
43826825,Crawl 2 Mapping Error,Y,N,N,N
43826859,Crawl 2 Mapping Error,Y,N,N,N
43827078,Crawl 2 Mapping Error,Y,N,N,N
43830745,Crawl 2 Mapping Error,Y,N,N,N
43832527,Crawl 2 Mapping Error,Y,N,N,N
43836667,Crawl 2 Mapping Error,,N,N,Y
43841064,Crawl 2 Mapping Error,,N,N,Y
43841220,Crawl 2 Mapping Error,,N,N,Y
43841337,Crawl 2 Mapping Error,Y,N,N,N
43854185,Crawl 2 Mapping Error,Y,N,N,N
43865211,Crawl 2 Mapping Error,,N,N,Y
43889700,Crawl 2 Mapping Error,Y,N,N,N
43889772,Crawl 2 Mapping Error,Y,N,N,N
43901563,Crawl 2 Mapping Error,Y,N,N,N
43913779,Crawl 2 Mapping Error,Y,N,N,N
43914215,Crawl 2 Mapping Error,Y,N,N,N
43918419,Crawl 2 Mapping Error,Y,N,N,N
43932246,Crawl 2 Mapping Error,Y,N,N,N
43935163,Crawl 2 Mapping Error,Y,N,N,Y
43942332,Crawl 2 Mapping Error,Y,N,N,N
43960115,Crawl 2 Mapping Error,Y,N,N,N
43979361,Crawl 2 Mapping Error,Y,N,N,N
43979389,Crawl 2 Mapping Error,Y,N,N,N
43979427,Crawl 2 Mapping Error,Y,N,N,N
43979697,Crawl 2 Mapping Error,Y,N,N,N
44000174,Crawl 2 Mapping Error,,N,N,Y
44001567,Crawl 2 Mapping Error,Y,N,N,N
44012334,Crawl 2 Mapping Error,Y,N,N,N
44020593,Crawl 2 Mapping Error,Y,N,N,N
44057503,Crawl 2 Mapping Error,Y,N,N,N
44068418,Crawl 2 Mapping Error,Y,N,N,N
44076861,Crawl 2 Mapping Error,,N,Y,N
44078150,Crawl 2 Mapping Error,,N,N,Y
44106426,Crawl 2 Mapping Error,,N,N,Y
44119771,Crawl 2 Mapping Error,Y,N,N,N
44127357,Crawl 2 Mapping Error,Y,N,N,N
44177817,Crawl 2 Mapping Error,Y,N,N,N
44189729,Crawl 2 Mapping Error,Y,N,N,N
44195755,Crawl 2 Mapping Error,Y,N,N,N
44202592,Crawl 2 Mapping Error,,N,N,Y
44217882,Crawl 2 Mapping Error,Y,N,N,N
44218914,Crawl 2 Mapping Error,Y,N,N,N
44223548,Crawl 2 Mapping Error,Y,N,N,N
44225417,Crawl 2 Mapping Error,Y,N,N,Y
44226592,Crawl 2 Mapping Error,Y,N,N,N
44228292,Crawl 2 Mapping Error,,N,Y,N
44230523,Crawl 2 Mapping Error,Y,N,N,N
44250299,Crawl 2 Mapping Error,,N,N,Y
44250376,Crawl 2 Mapping Error,Y,N,N,N
44250749,Crawl 2 Mapping Error,Y,N,N,N
44250837,Crawl 2 Mapping Error,Y,N,N,N
44251522,Crawl 2 Mapping Error,,N,N,Y
44251638,Crawl 2 Mapping Error,,N,N,Y
